GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
funcionarios,com.empresa.funcionarios.dto.request,FuncionarioRequestDTO,11,15,0,0,6,6,3,3,3,3
funcionarios,com.empresa.funcionarios.dto.request,LoginRequestDTO,26,0,0,0,12,0,6,0,6,0
funcionarios,com.empresa.funcionarios.dto.request,CargoRequestDTO,11,15,0,0,6,6,3,3,3,3
funcionarios,com.empresa.funcionarios.dto.request,VinculoRequestDTO,23,33,0,0,12,12,6,6,6,6
funcionarios,com.empresa.funcionarios.dto.request,DepartamentoRequestDTO,11,15,0,0,6,6,3,3,3,3
funcionarios,com.empresa.funcionarios.dto.request,UsuarioRequestDTO,15,21,0,0,8,8,4,4,4,4
funcionarios,com.empresa.funcionarios.validation,CpfValidoValidator,0,93,0,16,0,18,0,11,0,3
funcionarios,com.empresa.funcionarios.model,Cargo,0,20,0,0,0,9,0,6,0,6
funcionarios,com.empresa.funcionarios.model,Funcionario,0,31,0,0,0,14,0,8,0,8
funcionarios,com.empresa.funcionarios.model,Usuario,20,31,0,0,6,14,6,9,6,9
funcionarios,com.empresa.funcionarios.model,Perfil,0,15,0,0,0,3,0,1,0,1
funcionarios,com.empresa.funcionarios.model,Departamento,0,20,0,0,0,9,0,6,0,6
funcionarios,com.empresa.funcionarios.model,Vinculo,0,41,0,0,0,18,0,12,0,12
funcionarios,com.empresa.funcionarios.dto.response,VinculoResponseDTO,39,57,0,0,20,20,10,10,10,10
funcionarios,com.empresa.funcionarios.dto.response,LoginResponseDTO,36,0,0,0,16,0,8,0,8,0
funcionarios,com.empresa.funcionarios.dto.response,DepartamentoResponseDTO,15,21,0,0,8,8,4,4,4,4
funcionarios,com.empresa.funcionarios.dto.response,UsuarioResponseDTO,18,18,0,0,9,7,5,3,5,3
funcionarios,com.empresa.funcionarios.dto.response,FuncionarioResponseDTO,19,27,0,0,10,10,5,5,5,5
funcionarios,com.empresa.funcionarios.dto.response,CargoResponseDTO,15,21,0,0,8,8,4,4,4,4
funcionarios,com.empresa.funcionarios,SistemaFuncionariosApplication,5,3,0,0,2,1,1,1,1,1
funcionarios,com.empresa.funcionarios.config,DataSeeder,58,0,2,0,16,0,4,0,3,0
funcionarios,com.empresa.funcionarios.controller,TratadorDeExcecoes,46,0,0,0,11,0,6,0,6,0
funcionarios,com.empresa.funcionarios.controller,FuncionarioController,50,0,0,0,8,0,7,0,7,0
funcionarios,com.empresa.funcionarios.controller,UsuarioController,27,0,0,0,6,0,4,0,4,0
funcionarios,com.empresa.funcionarios.controller,RelatorioController,32,0,0,0,8,0,3,0,3,0
funcionarios,com.empresa.funcionarios.controller,DepartamentoController,38,0,0,0,8,0,6,0,6,0
funcionarios,com.empresa.funcionarios.controller,VinculoController,44,0,0,0,9,0,7,0,7,0
funcionarios,com.empresa.funcionarios.controller,CargoController,38,0,0,0,8,0,6,0,6,0
funcionarios,com.empresa.funcionarios.controller,AuthController,71,0,0,0,16,0,4,0,4,0
funcionarios,com.empresa.funcionarios.security,JwtAuthFilter,69,0,10,0,19,0,7,0,2,0
funcionarios,com.empresa.funcionarios.security,SecurityConfig,147,0,0,0,32,0,12,0,12,0
funcionarios,com.empresa.funcionarios.security,JwtService,100,0,6,0,27,0,11,0,8,0
funcionarios,com.empresa.funcionarios.security,ApplicationConfig,42,0,0,0,9,0,7,0,7,0
funcionarios,com.empresa.funcionarios.service,CargoService,0,133,0,4,0,23,0,11,0,9
funcionarios,com.empresa.funcionarios.service,DepartamentoService,0,137,0,4,0,24,0,11,0,9
funcionarios,com.empresa.funcionarios.service,FuncionarioService,0,226,0,16,0,43,0,21,0,13
funcionarios,com.empresa.funcionarios.service,VinculoService,0,232,0,4,0,52,0,17,0,15
funcionarios,com.empresa.funcionarios.service,RelatorioService,0,181,0,8,0,29,0,8,0,4
funcionarios,com.empresa.funcionarios.service,UsuarioService,0,127,0,14,0,22,0,13,0,6
